z,torsion_alpha_sv,A,Cx,Cy,Ix,Iy,J
2.8667,1,0.7529585959198057,0.2489609351451584,0.0040210238757635635,0.0434003108989094,0.04690479972821224,0.09030511062712164
19.95,1,0.5619622841699204,0.24127334658163316,0.027426680244800012,0.018611520390401322,0.03425087003826883,0.05286239042867015
24.05,1,0.5166648104691096,0.2388575620768839,0.03285133195551177,0.014652738765467915,0.03129401722346306,0.04594675598893098
28.15,1,0.47157703925112054,0.23609439776821275,0.03816759189613761,0.011335177646802143,0.028366110329249832,0.03970128797605198
40.45,1,0.33757194049409417,0.22437827477387473,0.053108601384737844,0.0046137021090709475,0.019737387508477332,0.02435108961754828
44.55,1,0.2933229792073985,0.21848569220733968,0.05752836284868477,0.0032475405952430867,0.016901843798963215,0.020149384394206302
56.1667,1,0.1690893691468836,0.1869918682759399,0.06603214560583784,0.0010075745623324976,0.008862756935300142,0.00987033149763264
58.9,1,0.1401030217561945,0.17200562053170734,0.06600248727903639,0.0007251089647315288,0.006917184205380551,0.0076422931701120795
61.5,1,0.11261679813592915,0.1508440321132068,0.06413431924034785,0.0005066091405039995,0.00499674010097228,0.00550334924147628
